experiment,run_id,instance_id,bom_file,strategy,model_type,service_time_promised,suppliers_available,tax_rate,cap_value,objective_value,total_cost_with_tax,total_cost_without_tax,procurement_cost,inventory_holding_cost,carbon_cost,achieved_service_time,service_constraint_binding,total_emissions,baseline_emissions,emission_reduction_pct,WIP,WIP_reduction_pct,DIO,DIO_improvement_pct,ITR,buffer_count,avg_decoupled_lead_time,suppliers_used,solver_status,runtime_sec,mip_gap
scalability,SCAL-002,bom_2,bom_supemis_2.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,35520,,,,,0,0,112400,,,,,3,,,1,1.5,1,OPTIMAL,0.31,
scalability,SCAL-003,bom_3,bom_supemis_3.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,23600,,,,,0,0,237400,,,,,7,,,2,2.3333333333333,1,OPTIMAL,0.09,
scalability,SCAL-004,bom_4,bom_supemis_4.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,40920,,,,,0,0,461840,,,,,11,,,3,2.75,2,OPTIMAL,0.14,
scalability,SCAL-005,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,48640,,,,,0,0,2932200,,,,,30,,,3,5,4,OPTIMAL,0.16,
scalability,SCAL-006,bom_6,bom_supemis_6.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,42620,,,,,0,0,2681960,,,,,28,,,4,4.6666666666667,3,OPTIMAL,0.2,
scalability,SCAL-007,bom_7,bom_supemis_7.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,46120,,,,,0,0,3853590,,,,,34,,,4,4.8571428571429,4,OPTIMAL,0.05,
scalability,SCAL-008,bom_8,bom_supemis_8.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,53084,,,,,0,0,5587240,,,,,48,,,3,6,4,OPTIMAL,0.09,
scalability,SCAL-010,bom_10,bom_supemis_10.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,63273,,,,,0,0,9949345,,,,,73,,,4,7.3,5,OPTIMAL,0.31,
scalability,SCAL-013,bom_13,bom_supemis_13.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,116448,,,,,0,0,29495946,,,,,134,,,7,9.5714285714286,8,OPTIMAL,0.05,
scalability,SCAL-015,bom_15,bom_supemis_15.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,127452,,,,,0,0,33149700,,,,,157,,,8,9.8125,8,OPTIMAL,0.14,
scalability,SCAL-020,bom_20,bom_supemis_20.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,239002,,,,,0,0,25445290,,,,,248,,,6,11.809523809524,9,OPTIMAL,0.55,
scalability,SCAL-025,bom_25,bom_supemis_25.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,273094,,,,,0,0,31154440,,,,,319,,,6,12.269230769231,4,OPTIMAL,0.42,
scalability,SCAL-026,bom_26,bom_supemis_26.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,867120,,,,,0,0,41574400,,,,,430,,,1,15.925925925926,5,OPTIMAL,0.36,
scalability,SCAL-030,bom_30,bom_supemis_30.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,875780,,,,,0,0,49597500,,,,,478,,,1,15.41935483871,7,OPTIMAL,0.41,
scalability,SCAL-035,bom_35,bom_supemis_35.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,358472,,,,,0,0,48310880,,,,,479,,,9,13.305555555556,5,OPTIMAL,0.56,
scalability,SCAL-040,bom_40,bom_supemis_40.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,1200760,,,,,0,0,101719560,,,,,531,,,5,12.951219512195,3,OPTIMAL,0.08,
scalability,SCAL-050,bom_50,bom_supemis_50.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,1381460,,,,,0,0,194576659,,,,,706,,,5,13.843137254902,5,OPTIMAL,0.33,
scalability,SCAL-060,bom_60,bom_supemis_60.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,2417975,,,,,0,0,1787786670,,,,,1138,,,5,18.655737704918,10,OPTIMAL,0.17,
scalability,SCAL-080,bom_80,bom_supemis_80.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,3375920,,,,,0,0,2592579835.4,,,,,1454,,,5,17.950617283951,9,OPTIMAL,0.3,
scalability,SCAL-090,bom_90,bom_supemis_90.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,2436599,,,,,0,0,2147483647,,,,,1797,,,14,19.747252747253,10,OPTIMAL,0.09,
scalability,SCAL-100,bom_100,bom_supemis_100.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,2795569,,,,,0,0,2147483647,,,,,2250,,,18,22.277227722772,10,OPTIMAL,0.13,
scalability,SCAL-123,bom_123,bom_supemis_123.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,2562560,,,,,0,0,646956126.6,,,,,1905,,,7,15.362903225806,10,OPTIMAL,0.77,
scalability,SCAL-150,bom_150,bom_supemis_150.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,3714089,,,,,0,0,2147483647,,,,,3125,,,57,20.695364238411,10,OPTIMAL,0.2,
topology_baseline,TOPO-multi_level-bom_ml4_30,bom_ml4_30,bom_supemis_ml4_30.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,378440,,,,,0,0,13603260,,,,,290,,,3,9.3548387096774,4,OPTIMAL,0.3,
topology_baseline,TOPO-multi_level-bom_ml4_55,bom_ml4_55,bom_supemis_ml4_55.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,625892,,,,,0,0,20449523.6,,,,,452,,,10,8.0714285714286,3,OPTIMAL,44.7,
topology_baseline,TOPO-multi_level-bom_ml5_45,bom_ml5_45,bom_supemis_ml5_45.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,426068,,,,,0,0,21728460,,,,,459,,,3,9.9782608695652,5,OPTIMAL,1.27,
topology_baseline,TOPO-multi_level-bom_ml5_65,bom_ml5_65,bom_supemis_ml5_65.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,501452.8,,,,,0,0,29937037.2,,,,,684,,,18,10.363636363636,5,OPTIMAL,3.77,
topology_baseline,TOPO-multi_level-bom_ml6_70,bom_ml6_70,bom_supemis_ml6_70.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,583456,,,,,0,0,32567175,,,,,707,,,10,9.9577464788732,4,OPTIMAL,1.64,
topology_baseline,TOPO-parallel-bom_par2,bom_par2,bom_supemis_par2.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,98537,,,,,0,0,10080095,,,,,74,,,4,7.4,6,OPTIMAL,0.22,
topology_baseline,TOPO-parallel-bom_par3,bom_par3,bom_supemis_par3.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,78984,,,,,0,0,8148140,,,,,53,,,4,4.4166666666667,4,OPTIMAL,0.08,
topology_baseline,TOPO-parallel-bom_par4,bom_par4,bom_supemis_par4.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,169920,,,,,0,0,5939600,,,,,57,,,6,5.1818181818182,4,OPTIMAL,0.28,
topology_baseline,TOPO-parallel-bom_par5,bom_par5,bom_supemis_par5.csv,EMISTAXE,PLM,1,10,0,2500000,fct_obj.,220691,,,,,0,0,18512205,,,,,115,,,7,6.0526315789474,6,OPTIMAL,0.88,
